Available_ram,charging%,is_charging,CPU_Util,time,drop
3.78851318359375,100.0,True,0.091935654648655,131.0,0
2.038654327392578,100.0,True,0.15911000999062,126.0,0
1.873130798339844,100.0,True,0.22332063008565,132.0,0
1.8484611511230469,100.0,True,0.289812611210054,127.0,0
1.876136779785156,100.0,True,0.35306066305771,127.0,0
2.0075721740722656,100.0,True,0.466517562357722,128.0,0
1.96710205078125,100.0,True,0.52847916494741,128.0,0
1.950908660888672,100.0,True,0.58953536646094,128.0,0
1.9437980651855469,100.0,True,0.65014771335566,128.0,0
1.9474105834960933,100.0,True,0.71004243403416,128.0,0
2.0425033569335938,100.0,True,0.8173409691634,129.0,0
2.003826141357422,100.0,True,0.8758392922498,129.0,0
2.13393783569336,100.0,True,0.93415357361708,129.0,0
2.117538452148437,100.0,True,0.9917196846407,128.0,0
2.115833282470703,100.0,True,1.04841954401521,128.0,0
2.2116775512695312,100.0,True,1.14970821845104,131.0,0
2.161693572998047,100.0,True,1.2058823153871,130.0,0
2.1631317138671875,100.0,True,1.26139309383357,130.0,0
2.165699005126953,100.0,True,1.31630154617609,131.0,0
2.169025421142578,100.0,True,1.37096810902286,131.0,0
2.257530212402344,100.0,True,1.46780710403815,131.0,0
2.19558334350586,100.0,True,1.52106191191451,131.0,0
2.1996994018554688,100.0,True,1.57385637013175,132.0,0
2.198570251464844,100.0,True,1.6264486342881,130.0,0
2.169811248779297,100.0,True,1.67792216206293,130.0,0
2.2643814086914062,100.0,True,1.76918090399006,132.0,0
2.212139129638672,100.0,True,1.8198765780609,132.0,0
2.2181854248046875,100.0,True,1.86998238976559,132.0,0
2.2233848571777344,100.0,True,1.9197334794465,132.0,0
2.2160186767578125,100.0,True,1.9689790457613,132.0,0
2.251178741455078,100.0,True,2.056230599705,132.0,0
2.2017173767089844,100.0,True,2.1044271941463,133.0,0
2.189037322998047,100.0,True,2.1523483473578,133.0,0
2.1907272338867188,100.0,True,2.19998266614379,132.0,0
2.180896759033203,100.0,True,2.246787811508,132.0,0
2.239078521728516,100.0,True,2.3340779284727,137.0,0
2.21646499633789,100.0,True,2.3813282958524,134.0,0
2.199935913085937,100.0,True,2.4271308922179,133.0,0
2.207660675048828,100.0,True,2.47212246606779,132.0,0
2.200592041015625,100.0,True,2.51642123465278,132.0,0
2.2187652587890625,100.0,True,2.594873885268,133.0,0
2.187973022460937,100.0,True,2.6385510379348,134.0,0
2.2035789489746094,100.0,True,2.68190096177232,133.0,0
2.223724365234375,100.0,True,2.72477571565187,132.0,0
2.2160682678222656,100.0,True,2.76694429881681,132.0,0
2.26858901977539,100.0,True,2.841312085811,133.0,0
2.2050437927246094,100.0,True,2.88267657259911,133.0,0
2.183116912841797,100.0,True,2.92381297517509,133.0,0
2.1839256286621094,100.0,True,2.964555497652,132.0,0
3.858600616455078,93.0,False,0.0291537200695535,128.0,2
2.2445602416992188,91.0,False,0.051490061539299,128.0,1
2.069522857666016,90.0,False,0.073736447460703,128.0,1
2.0687713623046875,89.0,False,0.095920826392005,131.0,2
2.061832427978516,87.0,False,0.118490908397264,133.0,2
2.1407241821289062,85.0,False,0.158511838600528,124.0,1
2.0994644165039062,84.0,False,0.179588225589548,123.0,2
2.093280792236328,82.0,False,0.20057433657229,124.0,1
2.105049133300781,81.0,False,0.221518150170124,124.0,2
2.0940399169921875,79.0,False,0.242426013500642,124.0,2
2.1420249938964844,77.0,False,0.28017705283773,124.0,2
2.204242706298828,75.0,False,0.300930297384064,125.0,1
2.2411651611328125,74.0,False,0.321765282197321,125.0,1
2.2484588623046875,73.0,False,0.34249010169151,125.0,1
2.256969451904297,72.0,False,0.36314166001905,125.0,2
2.2807350158691406,70.0,False,0.40022812074364,124.0,2
2.230430603027344,68.0,False,0.420636328012852,125.0,1
2.2407379150390625,67.0,False,0.441104018039,125.0,2
2.23269271850586,65.0,False,0.461528585357326,126.0,1
2.235973358154297,64.0,False,0.48192109385729,126.0,3
2.3093719482421875,61.0,False,0.51866912477315,126.0,1
2.258411407470703,60.0,False,0.53897358518488,126.0,2
2.252269744873047,58.0,False,0.5592257728405,127.0,1
2.2635040283203125,57.0,False,0.57945743618541,127.0,2
